P1_POS    |     P2_POS    |    BALL_X    |    BALL_Y    |    END_BYTE
128    |     128    |    256    |    128    |    00000000
128    |     128    |    261    |    128    |    00000000
128    |     128    |    266    |    128    |    00000000
128    |     128    |    271    |    128    |    00000000
128    |     128    |    276    |    128    |    00000000
128    |     128    |    281    |    128    |    00000000
128    |     128    |    286    |    128    |    00000000
128    |     128    |    291    |    128    |    00000000
128    |     128    |    296    |    128    |    00000000
128    |     128    |    301    |    128    |    00000000
128    |     128    |    306    |    128    |    00000000
128    |     128    |    311    |    128    |    00000000
128    |     128    |    316    |    128    |    00000000
128    |     128    |    321    |    128    |    00000000
128    |     128    |    326    |    128    |    00000000
128    |     128    |    331    |    128    |    00000000
128    |     128    |    336    |    128    |    00000000
128    |     128    |    341    |    128    |    00000000
128    |     128    |    346    |    128    |    00000000
128    |     128    |    351    |    128    |    00000000
128    |     128    |    356    |    128    |    00000000
128    |     128    |    361    |    128    |    00000000
128    |     128    |    366    |    128    |    00000000
128    |     128    |    371    |    128    |    00000000
128    |     128    |    376    |    128    |    00000000
128    |     128    |    381    |    128    |    00000000
128    |     128    |    386    |    128    |    00000000
128    |     128    |    391    |    128    |    00000000
128    |     128    |    396    |    128    |    00000000
128    |     128    |    401    |    128    |    00000000
128    |     128    |    406    |    128    |    00000000
128    |     128    |    411    |    128    |    00000000
128    |     128    |    416    |    128    |    00000000
128    |     128    |    421    |    128    |    00000000
128    |     128    |    426    |    128    |    00000000
128    |     128    |    431    |    128    |    00000000
128    |     128    |    436    |    128    |    00000000
128    |     128    |    441    |    128    |    00000000
128    |     128    |    446    |    128    |    00000000
128    |     128    |    451    |    128    |    00000000
128    |     128    |    456    |    128    |    00000000
128    |     128    |    461    |    128    |    00000000
128    |     128    |    466    |    128    |    00000000
128    |     128    |    471    |    128    |    00000000
128    |     128    |    476    |    128    |    00000000
128    |     128    |    481    |    128    |    00000000
128    |     128    |    486    |    128    |    00000000
128    |     123    |    491    |    128    |    00000000
128    |     118    |    496    |    128    |    00000000
128    |     113    |    501    |    128    |    00000000
128    |     108    |    494    |    130    |    00000000
128    |     103    |    487    |    132    |    00000000
128    |     98    |    480    |    134    |    00000000
128    |     93    |    473    |    136    |    00000000
128    |     88    |    466    |    138    |    00000000
128    |     83    |    459    |    140    |    00000000
128    |     78    |    452    |    142    |    00000000
128    |     73    |    445    |    144    |    00000000
128    |     68    |    438    |    146    |    00000000
128    |     68    |    431    |    148    |    00000000
128    |     68    |    424    |    150    |    00000000
128    |     68    |    417    |    152    |    00000000
128    |     68    |    410    |    154    |    00000000
128    |     68    |    403    |    156    |    00000000
128    |     68    |    396    |    158    |    00000000
128    |     68    |    389    |    160    |    00000000
128    |     68    |    382    |    162    |    00000000
128    |     68    |    375    |    164    |    00000000
128    |     68    |    368    |    166    |    00000000
128    |     68    |    361    |    168    |    00000000
133    |     68    |    354    |    170    |    00000000
138    |     68    |    347    |    172    |    00000000
143    |     68    |    340    |    174    |    00000000
148    |     68    |    333    |    176    |    00000000
153    |     68    |    326    |    178    |    00000000
158    |     68    |    319    |    180    |    00000000
163    |     68    |    312    |    182    |    00000000
168    |     68    |    305    |    184    |    00000000
173    |     68    |    298    |    186    |    00000000
178    |     68    |    291    |    188    |    00000000
183    |     68    |    284    |    190    |    00000000
188    |     68    |    277    |    192    |    00000000
193    |     68    |    270    |    194    |    00000000
198    |     68    |    263    |    196    |    00000000
203    |     68    |    256    |    198    |    00000000
203    |     68    |    249    |    200    |    00000000
203    |     68    |    242    |    202    |    00000000
203    |     68    |    235    |    204    |    00000000
203    |     68    |    228    |    206    |    00000000
203    |     68    |    221    |    208    |    00000000
203    |     68    |    214    |    210    |    00000000
203    |     68    |    207    |    212    |    00000000
203    |     68    |    200    |    214    |    00000000
203    |     68    |    193    |    216    |    00000000
203    |     68    |    186    |    218    |    00000000
203    |     68    |    179    |    220    |    00000000
203    |     68    |    172    |    222    |    00000000
203    |     68    |    165    |    224    |    00000000
203    |     68    |    158    |    226    |    00000000
203    |     68    |    151    |    228    |    00000000
203    |     68    |    144    |    230    |    00000000
203    |     68    |    137    |    229    |    00000000
203    |     68    |    130    |    227    |    00000000
203    |     68    |    123    |    225    |    00000000
203    |     68    |    116    |    223    |    00000000
203    |     68    |    109    |    221    |    00000000
203    |     68    |    102    |    219    |    00000000
203    |     68    |    95    |    217    |    00000000
203    |     68    |    88    |    215    |    00000000
203    |     68    |    81    |    213    |    00000000
203    |     68    |    74    |    211    |    00000000
203    |     68    |    67    |    209    |    00000000
198    |     68    |    60    |    207    |    00000000
193    |     68    |    53    |    205    |    00000000
188    |     68    |    46    |    203    |    00000000
183    |     68    |    39    |    201    |    00000000
178    |     68    |    32    |    199    |    00000000
173    |     68    |    25    |    197    |    00000000
168    |     68    |    18    |    195    |    00000000
163    |     68    |    11    |    193    |    00000000
158    |     68    |    256    |    128    |    00000001
153    |     68    |    251    |    128    |    00000001
148    |     68    |    246    |    128    |    00000001
143    |     68    |    241    |    128    |    00000001
138    |     68    |    236    |    128    |    00000001
133    |     68    |    231    |    128    |    00000001
128    |     68    |    226    |    128    |    00000001
123    |     68    |    221    |    128    |    00000001
118    |     68    |    216    |    128    |    00000001
113    |     68    |    211    |    128    |    00000001
108    |     68    |    206    |    128    |    00000001
103    |     68    |    201    |    128    |    00000001
98    |     68    |    196    |    128    |    00000001
93    |     68    |    191    |    128    |    00000001
88    |     68    |    186    |    128    |    00000001
83    |     68    |    181    |    128    |    00000001
78    |     68    |    176    |    128    |    00000001
73    |     68    |    171    |    128    |    00000001
68    |     68    |    166    |    128    |    00000001
63    |     68    |    161    |    128    |    00000001
58    |     68    |    156    |    128    |    00000001
58    |     68    |    151    |    128    |    00000001
58    |     68    |    146    |    128    |    00000001
58    |     68    |    141    |    128    |    00000001
58    |     68    |    136    |    128    |    00000001
58    |     68    |    131    |    128    |    00000001
63    |     68    |    126    |    128    |    00000001
68    |     68    |    121    |    128    |    00000001
73    |     68    |    116    |    128    |    00000001
78    |     68    |    111    |    128    |    00000001
83    |     68    |    106    |    128    |    00000001
88    |     68    |    101    |    128    |    00000001
93    |     68    |    96    |    128    |    00000001
98    |     68    |    91    |    128    |    00000001
103    |     68    |    86    |    128    |    00000001
108    |     68    |    81    |    128    |    00000001
113    |     68    |    76    |    128    |    00000001
118    |     68    |    71    |    128    |    00000001
123    |     68    |    66    |    128    |    00000001
